,nofloors,polygon,shading,height,wwr,construction,age,FLOOR_1: use,FLOOR_2: use,FLOOR_3: use,FLOOR_4: use,FLOOR_5: use,FLOOR_6: use,FLOOR_7: use,FLOOR_8: use,FLOOR_9: use,FLOOR_10: use,FLOOR_11: use,FLOOR_12: use,FLOOR_13: use,FLOOR_14: use,FLOOR_15: use,FLOOR_16: use,FLOOR_17: use,FLOOR_18: use,FLOOR_19: use,FLOOR_20: use,centroid_x,centroid_y,encoded_age,type
52401143210020,1,"POLYGON ((532417.89 165500.03, 532417.9 165500, 532421.35 165487.45, 532426.7 165488.9, 532435.1 165491.15, 532434.85 165500, 532434.7 165504.45, 532430.1 165503.15, 532423.25 165501.4, 532417.89 165500.03))",False,4.19,0.11162524753584657,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532427.2220953028,165495.96208603887,1.0,nondom
52401143210021,2,"POLYGON ((532385.25 165477.7, 532387.15 165478.2, 532391.45 165479.35, 532387.9 165492.25, 532381.9 165490.6, 532385.25 165477.7))",False,4.92,0.1188753370643215,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532386.6360507996,165484.94131640007,1.0,nondom
52401143210028,1,"POLYGON ((532454.8 165463.45, 532470.1 165466.9, 532465.6 165487.2, 532453.85 165484, 532454.8 165463.45))",False,10.06,0.10642223505548175,,PRE-1914,Hospitality,,,,,,,,,,,,,,,,,,,,532461.1790257193,165474.959045756,1.0,nondom
52401143210030,1,"POLYGON ((532358.25 165458.4, 532360.7 165449.55, 532367.9 165449.85, 532365.05 165460.25, 532358.25 165458.4))",False,4.33,0.11225089477230384,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532363.0678907302,165454.52983083832,1.0,nondom
52401143210031,2,"POLYGON ((532413.75 165466.45, 532416.4 165467.15, 532418.1 165461.2, 532415.35 165460.45, 532414.05 165460.1, 532409.85 165458.95, 532406.5 165471.4, 532411.25 165472.65, 532412.05 165472.85, 532413.75 165466.45))",False,6.76,0.13558289313348995,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532411.880331458,165465.51543946043,1.0,nondom
52401143210032,2,"POLYGON ((532406.5 165471.4, 532400.4 165469.75, 532403.8 165457.3, 532409.85 165458.95, 532406.5 165471.4))",False,4.79,0.1161541041876954,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532405.1348295927,165464.35781379882,1.0,nondom
52401143210033,2,"POLYGON ((532386.35 165452.6, 532392 165454.15, 532388.6 165466.6, 532384.7 165465.55, 532383 165465.1, 532386.35 165452.6))",False,4.79,0.1161541041876954,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532387.4895929818,165459.5999908703,1.0,nondom
52401143210034,2,"POLYGON ((532412.05 165472.85, 532413.75 165466.45, 532416.4 165467.15, 532418.1 165461.2, 532421.45 165462.05, 532418.05 165474.4, 532412.05 165472.85))",False,15.31,0.379597876091162,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532416.9534974137,165468.42902448258,1.0,nondom
52401143210035,2,"POLYGON ((532471.5 165488.75, 532466 165487.3, 532465.6 165487.2, 532470.1 165466.9, 532475.95 165468.2, 532471.5 165488.75))",False,9.15,0.16576518152431638,,PRE-1914,Shop,Shop,,,,,,,,,,,,,,,,,,,532470.7869655181,165477.791454061,1.0,nondom
52401143210036,1,"POLYGON ((532372.1 165482.1, 532366.75 165480.65, 532365.25 165486.05, 532358.35 165484.2, 532361.8 165471.5, 532374.15 165474.85, 532372.1 165482.1))",False,3.82,0.19764949588927505,,PRE-1914,Shop,,,,,,,,,,,,,,,,,,,,532365.6639195298,165478.45712733475,1.0,nondom
